age_years,remaining_fx,fx,sex
9,1,0,female
10,0.9999780781974941,4.253009015195239e-5,female
11,0.9998937152756436,1.63670969611439e-4,female
12,0.9997113783498702,3.5374855188390395e-4,female
13,0.9991377516311185,0.0011128827593187736,female
14,0.9965177095297284,0.00508309600653137,female
15,0.9904745496753229,0.011724224471988629,female
16,0.9801960755632744,0.019941080597318618,female
17,0.9654345965547043,0.028638476824149404,female
18,0.946117049312719,0.03747762190142501,female
19,0.9206206761191912,0.049465049699884064,female
20,0.888072528348969,0.06314606924179736,female
21,0.8487643529375963,0.07626107586269913,female
22,0.8041525923813129,0.08655046489812364,female
23,0.7564335405874899,0.09257886408769646,female
24,0.7060661277794671,0.09771690110167783,female
25,0.6533470389262901,0.10227934500570383,female
26,0.5987963362981255,0.10583282556245006,female
27,0.5431574594662616,0.10794397253459213,female
28,0.4873507243126991,0.10826963141016406,female
29,0.43210080340500245,0.1071893662235705,female
30,0.3779514303457372,0.1050542133684351,female
31,0.3252963435769777,0.10215517572630956,female
32,0.27437928638030695,0.09878325617874559,female
33,0.2256418344527431,0.09455464365632324,female
34,0.18115430339886562,0.08630944950099032,female
35,0.1423971413595112,0.07519206484590447,female
36,0.10987885361501515,0.0630881383492201,female
37,0.08313600258521059,0.05188331866909162,female
38,0.06106351827134071,0.042822425185658756,female
39,0.043736922599001304,0.033615012988578,female
40,0.031026267193829615,0.024659711268052793,female
41,0.022284786509968124,0.01695918761447797,female
42,0.016348897830064102,0.011516109618248347,female
43,0.011774509389245624,0.008874687778303057,female
44,0.008212128638276917,0.006911310073752394,female
45,0.005526426846544807,0.005210481177017742,female
46,0.003581438494002387,0.0037734365116927847,female
47,0.002240561271169117,0.002601411501371209,female
48,0.0013665560791299436,0.0016956415696467019,female
49,8.215470295365179e-4,0.0010573621401129489,female
50,4.670214446061971e-4,6.878086363636364e-4,female
51,2.2681603259011585e-4,4.66018149066599e-4,female
52,8.421415464687776e-5,2.766593086090148e-4,female
53,1.7508282812439546e-5,1.2941484816358565e-4,female
54,0,3.3967500903013426e-5,female
55,0,8.37792587829708e-20,female
15,0.999070597864558,0.0017668876773103404,male
16,0.9966555330352057,0.0045912830669994536,male
17,0.9908624829847565,0.011013175414442853,male
18,0.9794040485487615,0.021783645457839826,male
19,0.9613530700603956,0.03431674001837656,male
20,0.9372913952171767,0.045743683121313335,male
21,0.9080299363743487,0.0556289996309591,male
22,0.8739985601183113,0.06469709618227525,male
23,0.835998417369788,0.07224212361688567,male
24,0.7944277899054526,0.07902997701835508,male
25,0.7493946622412129,0.08561254090818986,male
26,0.7009409228037746,0.09211547065243064,male
27,0.6494996674365698,0.09779504129335938,male
28,0.5954277518625033,0.10279619302891482,male
29,0.53913587249636,0.1070165692457505,male
30,0.4818540939880761,0.10889846786565852,male
31,0.42451681358895765,0.10900398258662092,male
32,0.36920995097186304,0.10514395255006061,male
33,0.3172325915332016,0.09881422948057204,male
34,0.2691890281514743,0.09133568438906195,male
35,0.22566414863362594,0.08274520828374114,male
36,0.18699277706113326,0.07351819765685198,male
37,0.15324344794653277,0.06416089597396762,male
38,0.12450695349856955,0.054630989098228715,male
39,0.10051014910473799,0.04562035782080747,male
40,0.08049680566980189,0.038047394715906284,male
41,0.06429658940408078,0.030798253412718673,male
42,0.0512192854384923,0.024861280545961675,male
43,0.040747666849086595,0.019907608495342413,male
44,0.03235820750703977,0.01594921268790583,male
45,0.02567640105285185,0.012702791435337542,male
46,0.020400039505834133,0.010030898190292924,male
47,0.016224957223026082,0.00793725466720812,male
48,0.01291658040085053,0.00628955972456538,male
49,0.010287531966792773,0.004998087592061977,male
50,0.008221934271351983,0.003926910618318337,male
51,0.006591906832241978,0.003098847405242253,male
52,0.005284514003046525,0.002485486304817628,male
53,0.004234351640710177,0.0019964651106647723,male
54,0.0034013929278867705,0.001583538953992093,male
55,0.0027209120961995126,0.0012936630445575666,male
56,0.002174961797616337,0.0010379068631380588,male
57,0.0017251963822302319,8.550496494697176e-4,male
58,0.0013635429572473878,6.875398233889956e-4,male
59,0,0.002592233390445059,male
